date, av_rainfall, av_high, av_low
1/1, 0 mm, 10°, 4°
1/2, 2 mm, 10°, 4°
1/3, 10 mm, 10°, 4°
1/4, 0 mm, 10°, 3°
1/5, 1 mm, 10°, 3°
1/6, 1 mm, 10°, 3°
1/7, 0 mm, 10°, 3°
1/8, 0 mm, 10°, 3°
1/9, 1 mm, 10°, 3°
1/10, 3 mm, 10°, 3°
1/11, 0 mm, 10°, 3°
1/12, 0 mm, 10°, 3°
1/13, 19 mm, 10°, 3°
1/14, 0 mm, 10°, 3°
1/15, 1 mm, 10°, 3°
1/16, 4 mm, 10°, 3°
1/17, 4 mm, 10°, 3°
1/18, 3 mm, 10°, 3°
1/19, 1 mm, 10°, 3°
1/20, 0 mm, 10°, 3°
1/21, 0 mm, 10°, 3°
1/22, 0 mm, 10°, 3°
1/23, 1 mm, 10°, 3°
1/24, 1 mm, 10°, 3°
1/25, 0 mm, 10°, 3°
1/26, 0 mm, 10°, 3°
1/27, 0 mm, 10°, 3°
1/28, 0 mm, 10°, 3°
1/29, 0 mm, 10°, 3°
1/30, 0 mm, 10°, 3°
1/31, 0 mm, 10°, 3°
2/1, 2 mm, 11°, 3°
2/2, 2 mm, 11°, 3°
2/3, 2 mm, 11°, 3°
2/4, 7 mm, 11°, 3°
2/5, 9 mm, 11°, 3°
2/6, 16 mm, 11°, 3°
2/7, 2 mm, 11°, 3°
2/8, 0 mm, 11°, 3°
2/9, 1 mm, 11°, 3°
2/10, 1 mm, 11°, 3°
2/11, 0 mm, 11°, 3°
2/12, 0 mm, 12°, 3°
2/13, 0 mm, 12°, 3°
2/14, 0 mm, 12°, 3°
2/15, 0 mm, 12°, 3°
2/16, 0 mm, 12°, 3°
2/17, 0 mm, 12°, 3°
2/18, 8 mm, 12°, 3°
2/19, 0 mm, 12°, 3°
2/20, 0 mm, 12°, 3°
2/21, 0 mm, 12°, 3°
2/22, 0 mm, 13°, 3°
2/23, 0 mm, 13°, 3°
2/24, 8 mm, 13°, 3°
2/25, 4 mm, 13°, 3°
2/26, 0 mm, 13°, 3°
2/27, 0 mm, 13°, 3°
2/28, 0 mm, 13°, 4°
3/1, 1 mm, 14°, 4°
3/2, 0 mm, 14°, 4°
3/3, 8 mm, 14°, 4°
3/4, 0 mm, 14°, 4°
3/5, 6 mm, 14°, 4°
3/6, 6 mm, 14°, 4°
3/7, 5 mm, 14°, 4°
3/8, 11 mm, 14°, 4°
3/9, 2 mm, 14°, 4°
3/10, 3 mm, 15°, 4°
3/11, 2 mm, 15°, 4°
3/12, 0 mm, 15°, 4°
3/13, 0 mm, 15°, 4°
3/14, 2 mm, 15°, 4°
3/15, 0 mm, 15°, 4°
3/16, 2 mm, 15°, 5°
3/17, 2 mm, 15°, 5°
3/18, 2 mm, 15°, 5°
3/19, 0 mm, 15°, 5°
3/20, 0 mm, 15°, 5°
3/21, 4 mm, 16°, 5°
3/22, 1 mm, 16°, 5°
3/23, 14 mm, 16°, 5°
3/24, 1 mm, 16°, 5°
3/25, 0 mm, 16°, 5°
3/26, 1 mm, 16°, 5°
3/27, 0 mm, 16°, 5°
3/28, 3 mm, 16°, 5°
3/29, 0 mm, 16°, 5°
3/30, 0 mm, 16°, 5°
3/31, 0 mm, 16°, 6°
4/1, 0 mm, 16°, 6°
4/2, 0 mm, 17°, 6°
4/3, 0 mm, 17°, 6°
4/4, 0 mm, 17°, 6°
4/5, 0 mm, 17°, 6°
4/6, 0 mm, 17°, 6°
4/7, 0 mm, 17°, 6°
4/8, 12 mm, 17°, 6°
4/9, 3 mm, 17°, 6°
4/10, 0 mm, 17°, 6°
4/11, 0 mm, 17°, 6°
4/12, 0 mm, 18°, 7°
4/13, 0 mm, 18°, 7°
4/14, 0 mm, 18°, 7°
4/15, 0 mm, 18°, 7°
4/16, 0 mm, 18°, 7°
4/17, 0 mm, 18°, 7°
4/18, 0 mm, 18°, 7°
4/19, 0 mm, 19°, 7°
4/20, 0 mm, 19°, 7°
4/21, 0 mm, 19°, 7°
4/22, 1 mm, 19°, 8°
4/23, 25 mm, 19°, 8°
4/24, 24 mm, 19°, 8°
4/25, 3 mm, 19°, 8°
4/26, 0 mm, 20°, 8°
4/27, 3 mm, 20°, 8°
4/28, 12 mm, 20°, 8°
4/29, 2 mm, 20°, 8°
4/30, 1 mm, 20°, 9°
5/1, 15 mm, 21°, 9°
5/2, 5 mm, 21°, 9°
5/3, 0 mm, 21°, 9°
5/4, 1 mm, 21°, 9°
5/5, 0 mm, 21°, 9°
5/6, 0 mm, 21°, 9°
5/7, 1 mm, 22°, 10°
5/8, 0 mm, 22°, 10°
5/9, 0 mm, 22°, 10°
5/10, 0 mm, 22°, 10°
5/11, 2 mm, 22°, 10°
5/12, 20 mm, 22°, 10°
5/13, 3 mm, 23°, 10°
5/14, 7 mm, 23°, 10°
5/15, 1 mm, 23°, 11°
5/16, 4 mm, 23°, 11°
5/17, 4 mm, 23°, 11°
5/18, 0 mm, 23°, 11°
5/19, 21 mm, 23°, 11°
5/20, 2 mm, 24°, 11°
5/21, 0 mm, 24°, 11°
5/22, 0 mm, 24°, 11°
5/23, 6 mm, 24°, 12°
5/24, 5 mm, 24°, 12°
5/25, 0 mm, 24°, 12°
5/26, 0 mm, 24°, 12°
5/27, 0 mm, 24°, 12°
5/28, 0 mm, 25°, 12°
5/29, 3 mm, 25°, 12°
5/30, 1 mm, 25°, 12°
5/31, 0 mm, 25°, 12°
6/1, 2 mm, 25°, 13°
6/2, 14 mm, 25°, 13°
6/3, 1 mm, 25°, 13°
6/4, 0 mm, 25°, 13°
6/5, 0 mm, 26°, 13°
6/6, 3 mm, 26°, 13°
6/7, 0 mm, 26°, 13°
6/8, 0 mm, 26°, 13°
6/9, 15 mm, 26°, 13°
6/10, 3 mm, 26°, 14°
6/11, 0 mm, 26°, 14°
6/12, 7 mm, 26°, 14°
6/13, 0 mm, 27°, 14°
6/14, 2 mm, 27°, 14°
6/15, 0 mm, 27°, 14°
6/16, 0 mm, 27°, 14°
6/17, 0 mm, 27°, 14°
6/18, 1 mm, 27°, 14°
6/19, 5 mm, 27°, 14°
6/20, 2 mm, 28°, 15°
6/21, 0 mm, 28°, 15°
6/22, 0 mm, 28°, 15°
6/23, 0 mm, 28°, 15°
6/24, 0 mm, 28°, 15°
6/25, 0 mm, 28°, 15°
6/26, 2 mm, 29°, 15°
6/27, 3 mm, 29°, 15°
6/28, 0 mm, 29°, 15°
6/29, 0 mm, 29°, 15°
